known_dupes
adobe.com
livefyre.com
typekit.com
2o7.net
auditude.com
demdex.com
demdex.net
dmtracker.com
efrontier.com
everestads.net
everestjs.net
everesttech.net
fyre.co
hitbox.com
omniture.com
omtrdc.net
touchclarity.com
glanceguide.com
imrworldwide.com
imrworldwide.net
nielsen.com
oracle.com
atgsvcs.com
eloqua.com
estara.com
instantservice.com
istrack.com
maxymiser.com
telaria.com
freeskreen.com
awin.com
digitalwindow.com
dwin1.com
perfiliate.com
